feldname,feldtyp,pflicht,bereich,gruppe,entitaet,rolle,code_werte,hilfetext
Art der Übergabe,auswahl,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,familienintern:innerhalb der Familie;verkauf:Verkauf;schenkung:Schenkung;verpachtung:Verpachtung;offen:noch offen,"Muster für die Vorführung. Den Inhalt einer echten Vorlage verantwortet die ausgebende Bank. Gesellschaftsvertrag, Nachfolgeklausel, Notar und Steuerberatung stehen in diesem Bereich unter „Block 2 — Was die Gesellschaft handlungsfähig macht“, der Ablageort von Testament oder Erbvertrag unter „Rechtliche Grundlagen“."
Geplanter Zeitpunkt und nächster Schritt,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,Jahr der geplanten Übergabe und der nächste vereinbarte Schritt.
Nachfolge,ref,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),person,Nachfolge,,"Die Person, die den Betrieb übernehmen soll. Ihre Rolle heute im Betrieb gehört in das Freitextfeld. Steht sie noch nicht fest: „noch offen“ eintragen."
Unternehmensbewertung,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,"Ob es eine gibt, wer sie erstellt hat, mit welchem Stand und wo sie liegt."
Kreditverträge und Sicherheiten,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,"Welche Verträge bestehen, welche Sicherheiten dazu gehören, wo die Unterlagen liegen und wer bei der Bank dafür Ansprechperson ist."
Persönliche Bürgschaften der Inhaberin oder des Inhabers,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,Für welche Verträge sie bestehen und was bei der Übergabe mit ihnen geschehen soll.
"Konten, Vollmachten und Zeichnungsberechtigungen",textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,Wer heute zeichnet und was sich bei der Übergabe ändert. Die Vertretungsregelung steht im Bereich „Vertretung und Vollmachten“.
Finanzierung der Übernahme,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,Ob die Nachfolge die Übernahme finanzieren muss und wie weit das Gespräch darüber ist.
Beratende,refMehrfach,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),person,Beratung,,"Rechtsberatung, Kammer und weitere Ansprechpersonen für die Übergabe. Notar und Steuerberatung stehen schon unter „Block 2“."
Beratungsprotokolle und Unterlagen der Bank,ref,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),mappe,,,"Protokolle und Unterlagen aus den Gesprächen mit der Bank, als Dokument in der Mappe."
Meilensteine bis zur Übergabe,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,Termine und Schritte bis zur Übergabe.
Beteiligte,refMehrfach,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),person,Beteiligte,,"Mitgesellschafter, Führungskräfte, Familie: wer in die Übergabe eingebunden ist."
Ruhestand der Inhaberin oder des Inhabers,textarea,nein,pro-gesellschaft-nachfolge,Geplante Übergabe (Muster),,,,"Ob die Planung dafür steht, wo die Unterlagen liegen und wer dazu berät."
